"Id","UPRN","Date","Easting","Northing","Lat","Long","cluster","demand"
"1190","SOUTHTR_D3",2016-05-02,379816,409093,53.577786,-2.305203,1,40
"1193","SOUTHTR_D6",2016-04-08,379816,409093,53.577786,-2.305203,1,40
"1195","SOUTHTR_D8",2016-05-17,379816,409093,53.577786,-2.305203,1,40
"1200","SOUTHTR_D13",2016-04-06,379816,409093,53.577786,-2.305203,1,40
"1207","CENTRALAV_D20",2016-05-08,379775,409106,53.577902,-2.305823,1,40
"1212","CENTRALAV_D25",2016-04-04,379775,409106,53.577902,-2.305823,1,40
"1215","CENTRALAV_D28",2016-04-21,379775,409106,53.577902,-2.305823,1,40
"1236","CENTRALAV_D50",2016-04-05,379775,409106,53.577902,-2.305823,1,40
"1240","RADCLIFFERD_D181",2016-04-25,379762,409115,53.577982,-2.306021,1,40
"1248","RADCLIFFERD_D197",2016-05-13,379762,409115,53.577982,-2.306021,1,40
"1251","RADCLIFFERD_D203",2016-04-28,379762,409115,53.577982,-2.306021,1,40
"1254","RADCLIFFERD_D209",2016-04-25,379762,409115,53.577982,-2.306021,1,40
"1262","RADCLIFFERD_D225",2016-04-24,379762,409115,53.577982,-2.306021,1,40
"1617","BANKST_D10",2016-04-25,378691,406963,53.558595,-2.322068,1,40
"1623","JONESST_D16",2016-04-01,378973,407528,53.563685,-2.317844,1,40
"1625","PARKST_D1",2016-04-21,379032,407619,53.564505,-2.316958,1,40
"1628","PARKST_D7",2016-04-03,379032,407619,53.564505,-2.316958,1,40
"1632","PARKST_D15",2016-04-17,379032,407619,53.564505,-2.316958,1,40
"1647","HOWARDST_D5",2016-04-13,378984,407427,53.562778,-2.317671,1,40
"1649","HOWARDST_D21",2016-04-13,378984,407427,53.562778,-2.317671,1,40
"1650","HOWARDST_D23",2016-04-20,378984,407427,53.562778,-2.317671,1,40
"1651","WILLIAMST_D11",2016-04-05,378958,407566,53.564026,-2.318073,1,40
"1660","GINGHAMCT_D11",2016-04-10,379031,407550,53.563885,-2.316969,1,40
"1667","GINGHAMCT_D29",2016-05-09,379031,407550,53.563885,-2.316969,1,40
"1669","GINGHAMCT_D33",2016-04-21,379031,407550,53.563885,-2.316969,1,40
"1693","HOLLANDST_D7",2016-04-21,379249,407713,53.565359,-2.313684,1,40
"1702","HOLLANDST_D75",2016-05-12,379249,407713,53.565359,-2.313684,1,40
"1705","HOLLANDST_D79",2016-04-22,379249,407713,53.565359,-2.313684,1,40
"1709","HOLLANDST_D84",2016-04-27,379249,407713,53.565359,-2.313684,1,40
"1710","HOLLANDST_D85",2016-04-28,379249,407713,53.565359,-2.313684,1,40
"1718","WELLINGTONST_D36",2016-05-10,379195,407724,53.565456,-2.314501,1,40
"1727","STTHOMASCL_D4",2016-04-19,378318,407205,53.560755,-2.327722,1,40
"1738","STTHOMASCL_D16",2016-03-29,378318,407205,53.560755,-2.327722,1,40
"1739","STTHOMASCL_D17",2016-04-28,378318,407205,53.560755,-2.327722,1,40
"1740","STTHOMASCL_D18",2016-05-04,378318,407205,53.560755,-2.327722,1,40
"1742","STTHOMASCL_D20",2016-05-03,378318,407205,53.560755,-2.327722,1,40
"1743","STTHOMASCL_D21",2016-04-13,378318,407205,53.560755,-2.327722,1,40
"1748","STTHOMASCL_D26",2016-05-02,378318,407205,53.560755,-2.327722,1,40
"1758","COOMASSIEST_D26",2016-05-12,378214,407254,53.561191,-2.329298,1,40
"1761","COOMASSIEST_D06",2016-04-27,378193,407236,53.561028,-2.329614,1,40
"1763","COOMASSIEST_D33",2016-05-11,378193,407236,53.561028,-2.329614,1,40
